timestamp,location,potentialEvapotranspiration
2010-07-03T00:00:00,Lower,0.0
2010-07-04T00:00:00,Lower,0.1728
2010-07-05T00:00:00,Lower,0.1728
2010-07-06T00:00:00,Lower,0.9504
2010-07-07T00:00:00,Lower,1.728
2010-07-08T00:00:00,Lower,0.3024
2010-07-09T00:00:00,Lower,0.0
2010-07-10T00:00:00,Lower,0.5184
2010-07-11T00:00:00,Lower,1.4256
2010-07-12T00:00:00,Lower,1.8144
2010-07-13T00:00:00,Lower,2.7648
2010-07-14T00:00:00,Lower,3.4128000000000003
2010-07-15T00:00:00,Lower,1.4256
2010-07-16T00:00:00,Lower,1.4687999999999999
2010-07-17T00:00:00,Lower,1.9871999999999999
2010-07-18T00:00:00,Lower,2.1168
2010-07-19T00:00:00,Lower,1.2096
2010-07-20T00:00:00,Lower,1.5984
2010-07-21T00:00:00,Lower,2.6351999999999998
2010-07-22T00:00:00,Lower,1.1232
2010-07-23T00:00:00,Lower,2.2032
2010-07-24T00:00:00,Lower,2.5056
2010-07-25T00:00:00,Lower,3.1536
2010-07-26T00:00:00,Lower,3.4128000000000003
2010-07-27T00:00:00,Lower,3.6288
2010-07-28T00:00:00,Lower,3.8448
2010-07-29T00:00:00,Lower,4.7951999999999995
2010-07-30T00:00:00,Lower,5.1408000000000005
2010-07-31T00:00:00,Lower,4.3632
2010-08-01T00:00:00,Lower,3.8448
2010-08-02T00:00:00,Lower,3.9311999999999996
2010-08-03T00:00:00,Lower,5.4
2010-08-04T00:00:00,Lower,3.7583999999999995
2010-08-05T00:00:00,Lower,3.3264
2010-08-06T00:00:00,Lower,3.888
2010-08-07T00:00:00,Lower,3.3264
2010-08-08T00:00:00,Lower,3.3264
2010-08-09T00:00:00,Lower,3.5856000000000003
2010-08-10T00:00:00,Lower,4.0176
2010-08-11T00:00:00,Lower,5.832
2010-08-12T00:00:00,Lower,6.3936
2010-08-13T00:00:00,Lower,3.8448
2010-08-14T00:00:00,Lower,4.1903999999999995
2010-08-15T00:00:00,Lower,4.7088
2010-08-16T00:00:00,Lower,5.4432
2010-08-17T00:00:00,Lower,4.536
2010-08-18T00:00:00,Lower,5.054399999999999
2010-08-19T00:00:00,Lower,4.968
2010-08-20T00:00:00,Lower,5.0976
2010-08-21T00:00:00,Lower,6.6528
2010-08-22T00:00:00,Lower,6.8688
2010-08-23T00:00:00,Lower,6.739199999999999
2010-08-24T00:00:00,Lower,6.739199999999999
2010-08-25T00:00:00,Lower,7.4304
2010-08-26T00:00:00,Lower,7.732799999999999
2010-08-27T00:00:00,Lower,6.7824
2010-08-28T00:00:00,Lower,7.0416
2010-08-29T00:00:00,Lower,5.4864
2010-08-30T00:00:00,Lower,4.4064
2010-08-31T00:00:00,Lower,4.0176
2010-09-01T00:00:00,Lower,4.536
2010-09-02T00:00:00,Lower,3.0671999999999997
2010-09-03T00:00:00,Lower,2.5488
2010-09-04T00:00:00,Lower,3.7152
2010-09-05T00:00:00,Lower,4.2336
2010-09-06T00:00:00,Lower,5.054399999999999
2010-09-07T00:00:00,Lower,5.3136
2010-09-08T00:00:00,Lower,5.7456000000000005
2010-09-09T00:00:00,Lower,5.961600000000001
2010-09-10T00:00:00,Lower,5.616
2010-09-11T00:00:00,Lower,5.918399999999999
